Phone No.,Check-in date,Check-in time,Check-out time
92342914,21/1/2021,1809,2156
87471712,20/1/2021,1605,2110
94231616,12/2/2021,1610,1748
98069613,29/1/2021,1149,1856
86024376,2/2/2021,1434,1742
99484568,31/1/2021,1151,1749
86349316,31/1/2021,2110,2157
80772258,23/1/2021,1339,1609
85329650,6/2/2021,1845,2103
84182655,22/1/2021,1916,1930
88770941,29/1/2021,1927,2123
91752344,6/2/2021,1031,1531
81843977,25/1/2021,1358,1742
85779248,6/2/2021,1841,1913
98748341,5/2/2021,1520,1656
80448926,27/1/2021,1705,1833
89722266,28/1/2021,2023,2049
96838696,25/1/2021,1244,1458
95761263,20/1/2021,2057,2137
86186315,20/1/2021,1102,1437
98306921,7/2/2021,1103,1548
84126225,4/2/2021,1516,2134
89759870,29/1/2021,1347,1922
82522675,29/1/2021,1511,1651
91865981,31/1/2021,1950,2022
94221877,30/1/2021,2056,2126
85379869,21/1/2021,1805,2151
81900457,8/2/2021,1519,1654
93991081,9/2/2021,1557,1621
84966920,25/1/2021,2119,2158
92482728,23/1/2021,1449,1739
86630712,6/2/2021,1546,2048
80591472,27/1/2021,2117,2155
85312049,31/1/2021,1009,1303
97360499,30/1/2021,1706,2157
83412342,10/2/2021,2038,2153
94460380,10/2/2021,1107,1802
89364476,2/2/2021,1527,2014
87025766,31/1/2021,1551,1801
88823169,21/1/2021,1030,1058
95969720,21/1/2021,1003,1226
95154775,28/1/2021,2113,2113
80755900,1/2/2021,1951,2103
99729634,22/1/2021,2052,2147
80953053,6/2/2021,1540,1548
86670508,7/2/2021,1357,1439
87573433,6/2/2021,2038,2114
96150190,5/2/2021,1937,2025
80664774,8/2/2021,1013,1904
86144228,23/1/2021,2142,2157
97260122,6/2/2021,1035,1147
82432803,27/1/2021,1122,1542
87911376,29/1/2021,1916,2000
93688792,28/1/2021,1340,2124
82149035,12/2/2021,2139,2156
84750578,1/2/2021,2120,2145
83872358,22/1/2021,1928,1950
98176610,30/1/2021,1216,1729
95891652,4/2/2021,1906,2130
99840803,25/1/2021,1617,1650
92551692,11/2/2021,1422,2004
84665285,4/2/2021,2020,2034
81993481,27/1/2021,2124,2129
99566824,30/1/2021,2019,2123
91404853,22/1/2021,1648,1716
86901990,2/2/2021,1107,2139
97858037,6/2/2021,1239,2147
89826366,4/2/2021,1305,1343
92559577,12/2/2021,1745,2110
93486582,10/2/2021,1851,2100
87351318,1/2/2021,1714,1936
85119466,3/2/2021,1611,1722
98877242,26/1/2021,2110,2155
84445677,9/2/2021,1839,1945
98279628,9/2/2021,1306,1403
84734784,24/1/2021,1538,2104
80132591,24/1/2021,1917,2154
83043591,1/2/2021,1146,1856
90182848,24/1/2021,1218,2046
94949467,30/1/2021,1716,1803
94898208,3/2/2021,1530,1932
92900028,20/1/2021,1731,1945
84549523,11/2/2021,1027,1104
91380425,7/2/2021,1338,2049
95733970,10/2/2021,2101,2119
83240169,2/2/2021,1055,2028
98372096,2/2/2021,2052,2111
84181194,25/1/2021,1341,2002
81963905,29/1/2021,2009,2158
80128702,5/2/2021,1512,2111
89058458,10/2/2021,1320,1553
97403463,20/1/2021,1527,1909
83180370,26/1/2021,1730,1839
99012925,2/2/2021,1223,1455
91327576,12/2/2021,1742,2118
93154245,25/1/2021,1056,1243
95012433,9/2/2021,1903,1945
96138148,28/1/2021,2138,2155
99059157,4/2/2021,1442,2002
86711227,7/2/2021,1419,1624
93397395,21/1/2021,1200,1220
86973176,22/1/2021,2025,2130
99903758,25/1/2021,1925,2157
82886768,28/1/2021,1605,1911
92999880,10/2/2021,2035,2043
97506319,2/2/2021,1844,2034
90172330,8/2/2021,1524,2014
80739741,31/1/2021,1316,1611
95782871,1/2/2021,1657,1825
84715454,2/2/2021,2106,2116
92471833,30/1/2021,1111,2041
85061025,11/2/2021,1235,1649
83081218,5/2/2021,1058,1247
80069158,8/2/2021,1829,2053
99376958,12/2/2021,1324,1726
89051136,25/1/2021,1512,1712
90520829,5/2/2021,1210,2013
83748776,6/2/2021,1507,1812
93438436,9/2/2021,1708,1825
95250668,11/2/2021,1727,1837
80783830,24/1/2021,2158,2158
81872663,27/1/2021,1354,1516
85237695,20/1/2021,1014,1107
89878399,12/2/2021,1017,2113
91955799,2/2/2021,1116,1950
84496031,28/1/2021,1228,2054
81438319,24/1/2021,1143,1828
84401633,29/1/2021,2141,2142
92370520,24/1/2021,1218,2050
82970444,29/1/2021,2117,2145
97469567,30/1/2021,1713,1843
96685949,6/2/2021,1929,1935
87231267,5/2/2021,1550,1654
80565476,31/1/2021,1639,2052
94613303,2/2/2021,1037,1041
85035928,27/1/2021,1300,2151
94725845,24/1/2021,1251,1740
82051273,8/2/2021,1916,2109
82437837,11/2/2021,1426,1633
84263616,6/2/2021,1003,1532
97033482,4/2/2021,1321,2100
90007480,2/2/2021,1008,1724
88106450,1/2/2021,1714,1914
83309768,25/1/2021,1003,2007
99324873,22/1/2021,1026,1240
92669723,12/2/2021,2045,2057
94327827,10/2/2021,1036,1807
84891163,12/2/2021,2114,2116
80708355,31/1/2021,1707,2003
92141098,1/2/2021,2102,2128
81219212,25/1/2021,1524,2004
93466799,2/2/2021,1454,1825
80928773,23/1/2021,1957,2029
91581861,6/2/2021,1315,2153
90180968,27/1/2021,1205,1605
82535669,12/2/2021,2005,2052
99204015,21/1/2021,1111,1254
84514989,10/2/2021,1050,2135
81812591,5/2/2021,1317,1734
93588624,7/2/2021,1503,2155
89603090,8/2/2021,1713,2028
96326742,10/2/2021,1529,1837
85886037,11/2/2021,1438,2143
85488337,5/2/2021,1828,1926
89965693,12/2/2021,1631,1846
94146754,20/1/2021,1329,1506
89026631,1/2/2021,1352,1809
87567876,26/1/2021,1935,1949
96455984,2/2/2021,1253,1820
85138585,5/2/2021,1548,2141
80645090,11/2/2021,1606,1817
85316166,6/2/2021,1836,2015
96018712,1/2/2021,1638,2148
85775148,30/1/2021,1903,1917
98537716,4/2/2021,1924,2125
97528410,6/2/2021,1224,1829
96846318,22/1/2021,1011,2147
81191832,22/1/2021,1813,1926
81135556,29/1/2021,1845,1910
91522012,21/1/2021,1529,2104
85041853,24/1/2021,2001,2047
96464931,9/2/2021,1509,1843
91682371,7/2/2021,1144,2058
84293477,22/1/2021,1422,1628
97966500,9/2/2021,1332,1539
85000355,5/2/2021,1124,1937
93262765,6/2/2021,2032,2103
84163969,29/1/2021,2028,2157
82510395,30/1/2021,2032,2130
98662797,31/1/2021,1625,2152
93092706,26/1/2021,1209,1226
97303935,1/2/2021,1624,2054
99172350,1/2/2021,1308,1329
81083493,8/2/2021,1841,1924
93096751,9/2/2021,1925,2046
87051174,23/1/2021,1723,2113
88231252,11/2/2021,1441,2001
97030265,25/1/2021,2140,2158
86338245,24/1/2021,1532,1943
91636033,2/2/2021,1907,1907
96781785,10/2/2021,1644,2102
86608570,29/1/2021,2015,2139
96976325,6/2/2021,1627,1702
98985431,6/2/2021,1333,2128
97988541,5/2/2021,1853,2046
90907715,22/1/2021,1220,1224
94800593,3/2/2021,1613,1810
83299504,21/1/2021,2147,2157
81915337,3/2/2021,1602,1623
87128778,11/2/2021,1522,1524
82025339,23/1/2021,1011,1702
86277610,8/2/2021,1205,1922
85511718,27/1/2021,2052,2053
81491034,25/1/2021,1345,1819
81426887,20/1/2021,2038,2145
85886722,10/2/2021,1154,1351
88659099,22/1/2021,1948,2004
93715621,4/2/2021,1943,2109
95094017,28/1/2021,2121,2132
87377462,23/1/2021,1342,1733
81408140,23/1/2021,1105,1732
87841100,3/2/2021,1336,1724
82409208,12/2/2021,1011,1921
85501133,30/1/2021,2046,2152
93957250,21/1/2021,1621,1648
96868271,9/2/2021,1456,1921
93831436,21/1/2021,2023,2130
99583477,9/2/2021,1916,2008
89742952,2/2/2021,1439,2033
90893460,4/2/2021,1007,2106
89628585,7/2/2021,1926,2140
89965100,10/2/2021,1745,1924
96094645,2/2/2021,1650,1945
98452583,1/2/2021,1017,1855
82979202,4/2/2021,1802,1804
82502416,7/2/2021,1817,2041
98696609,20/1/2021,1924,2016
99914709,6/2/2021,1606,1831
80556090,28/1/2021,1352,2119
86544443,20/1/2021,1540,2153
91141010,25/1/2021,1453,1613
85979250,8/2/2021,1616,1703
92816254,10/2/2021,1113,1746
92356444,11/2/2021,1815,2054
85082522,3/2/2021,1554,1831
98877218,1/2/2021,1033,1539
84969791,11/2/2021,1435,1953
91940495,27/1/2021,1439,2131
96130150,3/2/2021,1638,2112
84284607,1/2/2021,1309,1751
84072039,30/1/2021,1329,1556
85043536,30/1/2021,2032,2110
81223668,25/1/2021,1917,1922
88628706,11/2/2021,1645,2157
86905330,20/1/2021,1053,1146
93510930,22/1/2021,1535,1741
83132049,26/1/2021,1520,2031
87740643,4/2/2021,1644,1807
84082518,29/1/2021,1632,2011
94181846,24/1/2021,1300,2041
85726959,12/2/2021,1428,2145
98674230,28/1/2021,1709,1910
84998986,23/1/2021,2020,2146
95657641,29/1/2021,1701,1953
80188980,25/1/2021,2107,2109
88139778,12/2/2021,1743,2150
81205413,3/2/2021,2143,2154
82037418,27/1/2021,1603,2025
95020579,8/2/2021,1714,1841
89804555,22/1/2021,1830,2157
83307806,20/1/2021,1206,1401
83891392,29/1/2021,1317,1433
80807912,3/2/2021,1239,1418
91226823,7/2/2021,1222,1513
81752476,30/1/2021,1332,1904
97599090,4/2/2021,1801,1841
92047367,23/1/2021,2116,2126
94677471,28/1/2021,1047,1428
95306368,1/2/2021,1447,2029
97627773,25/1/2021,1338,1342
99937904,1/2/2021,1843,2024
81561382,27/1/2021,1747,2142
81626161,1/2/2021,1937,2057
96652026,26/1/2021,2127,2134
95918416,26/1/2021,1539,2015
80169609,20/1/2021,1628,2014
99218137,27/1/2021,1344,2058
96999285,11/2/2021,1500,1852
82657926,7/2/2021,1236,1944
94244988,1/2/2021,1822,2127
91937049,8/2/2021,1958,2014
94897738,2/2/2021,1355,1707
87242630,31/1/2021,1536,2049
95607586,3/2/2021,2047,2123
94767942,28/1/2021,1124,2043
85700797,11/2/2021,1337,1544
90426132,22/1/2021,1203,1355
95764680,29/1/2021,1244,1813
95508812,1/2/2021,1726,1937
87666024,2/2/2021,1650,1712
89739815,5/2/2021,1316,1536
87529353,11/2/2021,1532,1709
97468983,4/2/2021,1811,1932
97704509,20/1/2021,1815,2048
97188414,27/1/2021,1935,2130
86767360,11/2/2021,2103,2141
91913447,12/2/2021,1834,1854
99597836,8/2/2021,1413,1706
92925215,29/1/2021,1038,1457
94492791,30/1/2021,1613,1918
81700792,7/2/2021,1241,2017
90599736,23/1/2021,1834,2152
92608551,2/2/2021,2053,2145
82475817,3/2/2021,1721,2153
80211796,21/1/2021,1544,1725
84866333,28/1/2021,2013,2103
89265080,31/1/2021,2119,2140
91547963,31/1/2021,1532,1834
97812888,29/1/2021,1340,2051
82133836,30/1/2021,1141,1239
84189460,12/2/2021,1552,2053
94475652,12/2/2021,1248,1642
95752919,11/2/2021,1035,1902
98407476,28/1/2021,2001,2034
96696350,12/2/2021,1731,2107
94291836,5/2/2021,2025,2126
85582679,25/1/2021,1112,1821
99648559,5/2/2021,2107,2154
84462881,24/1/2021,1843,1928
82169985,5/2/2021,1312,2141
93491555,3/2/2021,1140,1935
81821960,26/1/2021,1528,2118
92993202,9/2/2021,1312,1708
87145102,23/1/2021,1819,2005
96071211,30/1/2021,1318,1854
98928026,5/2/2021,1757,2045
87374652,3/2/2021,2058,2138
90390248,26/1/2021,2038,2147
89846404,4/2/2021,1114,1202
91215960,20/1/2021,1653,1725
80147572,1/2/2021,1445,2037
80537924,12/2/2021,1032,2120
83020983,24/1/2021,2110,2131
95486325,11/2/2021,1952,2101
96512541,20/1/2021,1137,2114
83338098,27/1/2021,1011,1424
96578935,9/2/2021,1609,1852
94728151,25/1/2021,1550,1719
85098636,25/1/2021,1029,2130
88820879,25/1/2021,1244,1926
84233979,9/2/2021,2014,2049
80205346,3/2/2021,1642,1957
94487870,28/1/2021,1225,1548
89446737,21/1/2021,1317,2019
83997981,5/2/2021,1500,1835
99114453,28/1/2021,1514,2106
97901820,24/1/2021,1950,2056
91589561,20/1/2021,2056,2128
86084324,24/1/2021,1202,1930
93045929,7/2/2021,1738,1828
92874772,9/2/2021,1910,2102
96754043,11/2/2021,1803,1949
90183880,8/2/2021,1708,2010
83925425,4/2/2021,2034,2141
80944838,26/1/2021,1820,2145
97117637,6/2/2021,1830,1901
82971582,22/1/2021,1310,2155
97817327,29/1/2021,1013,2136
95443458,6/2/2021,1327,1817
96678314,8/2/2021,1332,2102
97365187,31/1/2021,1953,1956
90658564,7/2/2021,1741,1931
92387815,21/1/2021,1845,1932
83371068,5/2/2021,1542,1703
86990258,21/1/2021,1031,1212
93886440,21/1/2021,1211,1506
99041055,24/1/2021,1736,2032
95523838,3/2/2021,2007,2051
82400700,31/1/2021,1831,2141
97351432,12/2/2021,1656,1846
96976693,8/2/2021,1322,1332
87521016,5/2/2021,1549,1610
95477107,25/1/2021,1444,1548
86176407,8/2/2021,1014,1252
98831522,9/2/2021,1514,2004
96784305,7/2/2021,1430,2130
96698564,20/1/2021,1202,1447
93427484,10/2/2021,2032,2032
80656949,3/2/2021,1057,1814
86896397,11/2/2021,1451,2034
94383266,5/2/2021,1714,1813
81310667,11/2/2021,1346,2117
95465346,11/2/2021,2036,2145
92116715,1/2/2021,1155,1553
90042160,21/1/2021,1637,2001
85520734,23/1/2021,1305,1705
97581517,12/2/2021,2048,2054
80199440,24/1/2021,1528,1745
94416266,29/1/2021,2016,2120
90364225,30/1/2021,1426,1757
80529147,5/2/2021,1626,1635
83290910,12/2/2021,1146,1613
84184021,12/2/2021,2109,2144
80123226,8/2/2021,2128,2134
93683748,5/2/2021,1612,1852
90390511,9/2/2021,1746,1800
88043752,22/1/2021,1227,2018
81340458,8/2/2021,1651,1931
97052377,28/1/2021,1824,1937
94016502,1/2/2021,2138,2154
82354863,11/2/2021,2005,2120
96674806,2/2/2021,1514,1915
86308521,22/1/2021,1252,1924
94038840,21/1/2021,1717,2109
91720906,29/1/2021,1219,1410
91333558,9/2/2021,1650,2103
83463827,8/2/2021,1152,1245
96693498,1/2/2021,1316,1556
83676797,1/2/2021,2006,2139
81708618,7/2/2021,2138,2147
87008395,8/2/2021,1708,2156
88511806,29/1/2021,1637,1736
93109990,3/2/2021,1632,2113
80811668,29/1/2021,1505,1619
94938884,22/1/2021,2013,2048
82294222,4/2/2021,2036,2132
85045555,6/2/2021,1316,1801
94157814,9/2/2021,1640,2128
83276525,22/1/2021,1617,1912
92436829,1/2/2021,1241,2127
85129452,31/1/2021,1502,1816
92022818,26/1/2021,1818,1819
97453718,2/2/2021,1453,1457
91290230,9/2/2021,1532,2013
83887759,8/2/2021,1533,1657
91800872,11/2/2021,1252,1805
89865774,22/1/2021,1440,1931
94942725,7/2/2021,1757,2122
82363683,23/1/2021,1611,2149
99921568,26/1/2021,1947,2100
96687737,27/1/2021,1743,1905
83146436,20/1/2021,2002,2123
96739115,28/1/2021,1619,1800
92279135,6/2/2021,1555,1705
90097522,11/2/2021,1717,2101
87344184,4/2/2021,1955,2021
87532624,2/2/2021,1142,1232
81908754,29/1/2021,1522,1750
80553765,30/1/2021,1958,2042
80759696,5/2/2021,1551,1903
97636264,10/2/2021,1100,1103
94809859,29/1/2021,1304,1709
81357058,11/2/2021,1627,1755
81986938,3/2/2021,1115,1743
85148834,7/2/2021,2137,2139
99364688,7/2/2021,1802,1933
99137531,20/1/2021,1258,1445
94136863,9/2/2021,1837,1947
94177417,11/2/2021,1654,1845
81869446,10/2/2021,1750,2120
92326507,1/2/2021,1451,1748
96108049,23/1/2021,1707,1724
80784653,23/1/2021,1419,2143
86503763,8/2/2021,1722,1842
99721996,21/1/2021,1351,1531
84527759,1/2/2021,1105,1333
93195432,25/1/2021,1232,1716
81939132,31/1/2021,1445,2017
84084131,26/1/2021,2115,2135
84038938,2/2/2021,2007,2149
86925150,20/1/2021,1958,2013
91222425,12/2/2021,1842,1927
91884017,9/2/2021,1054,2105
86189987,9/2/2021,1450,2128
83996207,9/2/2021,2022,2127
92544589,6/2/2021,1542,1549
92932845,23/1/2021,1602,1943
84317828,3/2/2021,1821,2050
90976392,25/1/2021,1407,1753
96900227,30/1/2021,1025,1843
90514349,1/2/2021,1623,1713
87329539,1/2/2021,1805,1824
80385227,20/1/2021,1033,1136
95335551,30/1/2021,1858,2006
80765241,7/2/2021,1429,2019
85371431,25/1/2021,1032,1252
99999779,21/1/2021,1855,1855
90372967,5/2/2021,1748,1809
91996845,29/1/2021,1531,1845
91775371,22/1/2021,1503,2121
81436967,6/2/2021,1625,1709
81259057,8/2/2021,1507,1554
93402476,21/1/2021,1836,2143
86251306,6/2/2021,1800,2129
88810080,3/2/2021,1953,2138
83296604,12/2/2021,1318,1407
80384037,31/1/2021,1839,1956
99481987,7/2/2021,1227,2058
85260178,22/1/2021,1528,1601
93489704,6/2/2021,1450,1701
91205641,12/2/2021,1535,2155
94557926,22/1/2021,1837,2153
86662385,22/1/2021,1455,1832
87145278,23/1/2021,1551,2020
99242823,20/1/2021,1149,1935
83759013,1/2/2021,2041,2056
93156747,10/2/2021,1712,1718
85121223,12/2/2021,1247,1639
84638475,23/1/2021,1101,1610
95202001,25/1/2021,1402,1713
99790172,8/2/2021,2011,2041
86408688,21/1/2021,1646,2016
92606880,25/1/2021,1632,1907
88785865,12/2/2021,1812,1916
92436673,3/2/2021,1145,1401
84260870,1/2/2021,1325,1847
92507955,2/2/2021,1234,2155
85895316,11/2/2021,1830,2049
84504483,4/2/2021,1327,1750
92873585,22/1/2021,1638,1816
89563359,2/2/2021,1321,1658
81769413,2/2/2021,1939,2135
98654575,11/2/2021,1505,1553
88541655,27/1/2021,1540,2030
82316858,24/1/2021,1650,1745
97237943,8/2/2021,1210,1555
92473972,27/1/2021,2113,2124
86132356,2/2/2021,1007,2000
86185134,29/1/2021,2111,2138
95313595,2/2/2021,1604,2121
89041488,24/1/2021,1750,1811
83918191,31/1/2021,2121,2148
95895340,28/1/2021,1741,2018
80986619,27/1/2021,1923,2147
96480821,3/2/2021,1131,1721
84195438,8/2/2021,1551,2009
89114764,6/2/2021,2007,2116
93039563,9/2/2021,1747,1912
82241763,12/2/2021,1949,2156
93903302,22/1/2021,1421,2120
83296126,24/1/2021,1634,1808
80379731,7/2/2021,1237,1400
82600617,9/2/2021,1014,1049
84116927,22/1/2021,1530,1941
80979413,4/2/2021,1037,2123
80605239,8/2/2021,1838,1943
89855575,20/1/2021,1047,1948
90802052,29/1/2021,1531,1833
88178508,5/2/2021,2036,2104
90091082,10/2/2021,1758,2154
81359022,30/1/2021,1739,2047
93240646,3/2/2021,1417,2117
96656938,3/2/2021,2033,2101
85437014,30/1/2021,2112,2128
98142786,10/2/2021,1422,1646
89173861,21/1/2021,1810,1936
92296894,25/1/2021,1950,2129
87023560,1/2/2021,1107,1149
89835772,7/2/2021,1909,2121
88563708,9/2/2021,1811,1858
96329323,26/1/2021,1416,1522
92728934,3/2/2021,1931,2044
81179028,31/1/2021,1106,1732
97098479,11/2/2021,1435,1506
97631717,30/1/2021,1109,2011
90917083,26/1/2021,2139,2148
88137792,21/1/2021,1007,1531
97283078,3/2/2021,1517,1522
86722058,12/2/2021,2122,2134
86128895,9/2/2021,1704,1910
99636543,9/2/2021,2124,2150
90617147,4/2/2021,1038,2044
84919046,23/1/2021,1005,1219
92551664,24/1/2021,1942,2057
93961185,31/1/2021,1154,1726
87786953,29/1/2021,2132,2133
85015538,12/2/2021,1737,1751
83988048,7/2/2021,2032,2046
98385836,11/2/2021,2150,2155
94563495,30/1/2021,1331,1526
99742361,24/1/2021,2016,2028
95167594,30/1/2021,1351,1554
91752199,28/1/2021,2125,2128
95788148,1/2/2021,1648,2100
85992778,26/1/2021,1422,2035
84278897,11/2/2021,1226,1252
80805771,20/1/2021,1551,1623
99938824,9/2/2021,1718,1830
84143082,27/1/2021,1937,2129
83592827,27/1/2021,2124,2141
97336981,1/2/2021,1129,2027
86050658,22/1/2021,2115,2151
82740438,23/1/2021,1714,1939
92165830,9/2/2021,1431,1913
89922165,26/1/2021,1308,1943
98765184,23/1/2021,1312,1857
98748187,28/1/2021,1725,2025
83145659,23/1/2021,1440,2129
90028452,1/2/2021,1552,1920
96097695,31/1/2021,1846,1909
94675149,1/2/2021,1452,1954
80224588,29/1/2021,1830,1928
94039588,21/1/2021,1315,1638
88993833,23/1/2021,1825,2105
86972089,24/1/2021,1917,2147
87723272,10/2/2021,1832,1956
86939702,11/2/2021,1247,1838
94323936,4/2/2021,1154,1701
97302115,7/2/2021,1342,1623
88603909,9/2/2021,1912,2136
95788246,4/2/2021,1705,1854
94932833,1/2/2021,1939,2151
92514353,22/1/2021,1515,2022
81540942,12/2/2021,2022,2144
87719653,11/2/2021,1332,1743
87680925,21/1/2021,1333,2043
95900556,12/2/2021,1713,1848
98864998,31/1/2021,1109,1621
85130265,23/1/2021,1646,2130
91178510,20/1/2021,1821,2010
98683561,20/1/2021,2121,2156
84453559,30/1/2021,1929,2045
92335667,21/1/2021,1945,2003
85135533,12/2/2021,1054,1516
95829864,4/2/2021,1754,2006
95455897,1/2/2021,1844,1912
81993617,22/1/2021,1308,2016
97482046,30/1/2021,2002,2042
81705990,8/2/2021,1236,1527
97369701,11/2/2021,1001,1238
82177580,11/2/2021,1246,1344
93339524,21/1/2021,1031,1718
90931959,25/1/2021,1817,1847
90283894,30/1/2021,1107,2006
90087163,28/1/2021,2157,2158
84451303,23/1/2021,1214,2142
93098117,9/2/2021,1041,1118
98035351,29/1/2021,1145,2152
94925727,23/1/2021,1704,1735
95936594,9/2/2021,1647,1712
83273511,26/1/2021,1954,2030
98931450,3/2/2021,1135,1645
93626599,31/1/2021,1117,1225
96630817,12/2/2021,1440,1656
88431224,3/2/2021,1551,2017
91466595,10/2/2021,1440,2053
97377536,5/2/2021,1611,1718
81892670,3/2/2021,1801,1841
88148646,11/2/2021,2033,2151
98802989,28/1/2021,2029,2116
94522972,12/2/2021,1723,2008
92922296,11/2/2021,1721,2019
96853360,4/2/2021,1750,1920
90901074,2/2/2021,1742,1936
99226934,1/2/2021,1440,1526
96460267,24/1/2021,2130,2155
81171763,20/1/2021,1500,1804
97809153,24/1/2021,1724,1916
87030298,24/1/2021,1436,1841
83027209,4/2/2021,2054,2137
87958713,9/2/2021,1147,2001
97882278,11/2/2021,2047,2128
81975320,12/2/2021,2109,2143
93905113,11/2/2021,2144,2150
96759937,30/1/2021,1316,1434
81805468,4/2/2021,1623,1724
81910471,23/1/2021,1057,1654
87374465,22/1/2021,1554,1955
87016218,12/2/2021,1320,1505
92440471,30/1/2021,1536,1553
84448788,11/2/2021,1611,1913
96477353,12/2/2021,1318,1803
89367091,5/2/2021,1730,2114
87885810,10/2/2021,1435,2123
96445524,20/1/2021,1340,1347
83231280,24/1/2021,2122,2154
88265584,3/2/2021,1053,1846
86620597,24/1/2021,1505,1655
86511808,1/2/2021,2115,2140
82684101,10/2/2021,1828,2020
99898641,22/1/2021,1045,1428
83956797,5/2/2021,1847,2001
91924724,5/2/2021,1001,2045
94046289,8/2/2021,1333,1530
97780434,23/1/2021,1649,1826
84495060,6/2/2021,2117,2134
95623444,21/1/2021,1624,2027
90811623,7/2/2021,1611,2014
95142569,31/1/2021,1932,2014
98560810,10/2/2021,1704,1826
85817066,10/2/2021,1345,2106
89917708,6/2/2021,1226,1643
96993267,20/1/2021,1928,2120
99575783,27/1/2021,1533,2116
98007352,25/1/2021,1436,1705
93555157,12/2/2021,1827,2056
90302574,10/2/2021,2119,2132
94621432,27/1/2021,1116,1951
81299777,3/2/2021,1620,1653
83327702,7/2/2021,1521,2115
94633640,2/2/2021,1752,2057
92598360,23/1/2021,1228,1321
93386377,1/2/2021,1633,1801
92071195,23/1/2021,1116,1448
87100049,12/2/2021,2003,2031
91760594,1/2/2021,2057,2149
92968997,10/2/2021,1007,1704
93859400,12/2/2021,1948,2012
94416633,1/2/2021,2044,2056
